model,outcome,predictor,beta,ci_low,ci_high,se_envelope,envelope_low,envelope_high,se_used,psd_adjusted,se_block2,se_block1,se_year,se_two_way,two_way_negative_variance,n,pixels,years,blocks2,within_r2,detrend,min_years,fe_iterations
gleam_main,E_I,A,1.8818990947278256,1.7685774209343472,1.995220768521304,0.058636811544184,1.7605996082762418,2.0031985811794093,0.0547802948263258,False,0.037169266320447,0.02588496660667,0.0453510893944989,0.0547802948263258,False,43797,2021,24,127,0.6676741140386884,False,18,14
gleam_main,E_K,A,1.7668093797490505,1.7161218558526763,1.8174969036454247,0.0259372931348372,1.7131540009119997,1.820464758586101,0.0245026164025792,False,0.0207325868973143,0.0146572904200608,0.0155853461850477,0.0245026164025792,False,43797,2021,24,127,0.9657814977685282,False,18,14
gleam_main,E_R,A,0.115089714978784,0.0327894653758692,0.1973899645816987,0.0434986720420094,0.0251058560159589,0.2050735739416091,0.0397843747502725,False,0.0221269917092848,0.0163311493290879,0.0374503765977797,0.0397843747502725,False,43797,2021,24,127,0.0081614225883405,False,18,14
gleam_main,E_K_loo,A,1.761805480818677,1.7125115867525242,1.8110993748848296,0.0252655132632888,1.7095397845254312,1.814071177111923,0.0238289283919571,False,0.020265091364755,0.0143925385020357,0.0150888114984431,0.0238289283919571,False,43797,2021,24,127,0.9652339431287108,False,18,14
gleam_main,E_R_loo,A,0.120093613909161,0.0342150925425879,0.2059721352757341,0.0453899186806222,0.02619741319419,0.213989814624132,0.0415141301944001,False,0.023089034860982,0.0170411992964587,0.0390786538537583,0.0415141301944001,False,43797,2021,24,127,0.0081614223556593,False,18,14
gleam_main,E_early,A,0.2423671184504886,0.150853775838852,0.3338804610621253,0.048668774160378,0.1416880883938566,0.3430461485071207,0.0442380325050982,False,0.0275547159954057,0.0208041996224952,0.0401171684530004,0.0442380325050982,False,43797,2021,24,127,0.0267144065559234,False,18,14
gleam_main,E_late,A,-0.010858586942004,-0.0666974412715885,0.0449802673875805,0.0299802866096154,-0.0728775349995293,0.0511603611155212,0.0269927967046577,False,0.0161646980168654,0.0112330255604698,0.0252491608418623,0.0269927967046577,False,43797,2021,24,127,9.851146544959112e-05,False,18,14
gleam_main,E_annual,A,0.3560712683172983,0.1640679491419868,0.5480745874926098,0.1023070248659708,0.1444330627289769,0.5677094739056198,0.0928154172098191,False,0.0537745682596222,0.0393012577853889,0.0870346088944944,0.0928154172098191,False,43797,2021,24,127,0.0127525674342784,False,18,14
gleam_main,E_centroid_advance,A,0.0349352200772742,0.0252713230834049,0.0445991170711435,0.0054828230111188,0.0235931365287426,0.0462773036258058,0.0046715787790091,False,0.0039302793619489,0.0029026831874311,0.0038228591797622,0.0046715787790091,False,43797,2021,24,127,0.0263945979533235,False,18,14
gleam_main,E_q10_advance,A,0.0307040772830068,0.0161923102460933,0.0452158443199203,0.0082198026579251,0.0137001199585472,0.0477080346074664,0.0070150647278811,False,0.0042020055452983,0.0033218066096155,0.0070645810302179,0.0070150647278811,False,43797,2021,24,127,0.0088082265470644,False,18,14
