pixel,year,lon,lat,zone,igbp,area_km2,A,E_I,E_K,E_R,E_K_loo,E_R_loo,E_early,E_late,E_annual,E_centroid,E_q10,E_q10_null,E_q25,E_q25_null,E_q50,E_q50_null,E_q75,E_q75_null,E_q90,E_q90_null,E_centroid_advance,E_q10_advance,E_q10_null_advance,E_q10_gap,E_q25_advance,E_q25_null_advance,E_q25_gap,E_q50_advance,E_q50_null_advance,E_q50_gap,E_q75_advance,E_q75_null_advance,E_q75_gap,E_q90_advance,E_q90_null_advance,E_q90_gap,Et_I,Et_K,Et_R,Et_K_loo,Et_R_loo,Et_early,Et_late,Et_annual,Et_centroid,Et_q10,Et_q10_null,Et_q25,Et_q25_null,Et_q50,Et_q50_null,Et_q75,Et_q75_null,Et_q90,Et_q90_null,Et_centroid_advance,Et_q10_advance,Et_q10_null_advance,Et_q10_gap,Et_q25_advance,Et_q25_null_advance,Et_q25_gap,Et_q50_advance,Et_q50_null_advance,Et_q50_gap,Et_q75_advance,Et_q75_null_advance,Et_q75_gap,Et_q90_advance,Et_q90_null_advance,Et_q90_gap,En_I,En_K,En_R,En_K_loo,En_R_loo,En_early,En_late,En_annual,En_centroid,En_q10,En_q10_null,En_q25,En_q25_null,En_q50,En_q50_null,En_q75,En_q75_null,En_q90,En_q90_null,En_centroid_advance,En_q10_advance,En_q10_null_advance,En_q10_gap,En_q25_advance,En_q25_null_advance,En_q25_gap,En_q50_advance,En_q50_null_advance,En_q50_gap,En_q75_advance,En_q75_null_advance,En_q75_gap,En_q90_advance,En_q90_null_advance,En_q90_gap,centroid_Et_minus_E_advance,centroid_Et_minus_En_advance,qdiff_Et_minus_E_q10,qdiff_Et_minus_En_q10,qdiff_Et_minus_E_q25,qdiff_Et_minus_En_q25,qdiff_Et_minus_E_q50,qdiff_Et_minus_En_q50,qdiff_Et_minus_E_q75,qdiff_Et_minus_En_q75,qdiff_Et_minus_E_q90,qdiff_Et_minus_En_q90,Et_fraction_annual,Et_fraction_early,Et_fraction_late
2064,2017,120.32555040046375,41.975192005480707,7,10,23.015098038566588,1.81817626953125,184.8780158765876,191.94321837137977,-7.0652024947921745,192.25040376203833,-7.3723878854507348,200.10409521724796,173.61406585780787,524.14536768943071,198.66515855079581,143.51326103662245,131.89372293424691,165.59759445581733,157.18239116464179,197.46600801521015,191.27012142655917,233.17883547738242,226.31514344167522,258.54913577479647,252.64720618824489,-6.0274679602260051,-10.742534957807948,0.51534691663522381,11.257881874443171,-7.6505257120321914,0.7342822814897545,8.3848079935219459,-5.4209900856235151,0.84973071823739588,6.270720803860911,-6.1150495882604616,0.80053681774566599,6.9155864060061276,-5.4213836917171818,0.4558777926411608,5.8772614843583426,111.76563507803803,112.41943614532647,-0.65380106728844112,112.44786327303154,-0.68222819499351317,117.71343767015287,116.54277353132784,250.83951117284596,200.63814706761104,149.46699661627747,145.23742360219461,173.07194504347848,168.05557823987908,200.99291105054166,195.81880793743099,230.18372678646375,223.710075306622,250.32560004189816,245.7928830251951,-3.5715456014477525,-2.3327114872869004,1.3875685014818657,3.7202799887687661,-3.7630128976637138,1.5200919868214555,5.2831048844851694,-3.6758402620780259,1.5905990675936437,5.2664393296716696,-4.7744900373200494,1.5156122305771476,6.290102267897197,-4.0742263768952398,1.3780506228420109,5.4522769997372507,73.11238096991292,79.52378592425157,-6.41140495433865,79.802541225937603,-6.6901602560246829,82.390657746906072,57.071292535096291,273.30585688725114,195.35110185443918,138.5202573419522,122.6027241321062,154.04461855586641,141.94686975029381,185.54949953956941,181.07732466665229,239.33363571970571,231.36015883506821,267.25669453920449,261.61369792806175,-8.7335806320589597,-13.341288371017995,0.20134755712304298,13.542635928141038,-11.670478504573992,-0.98461885406848637,10.685859650505506,-5.6996507559042868,-0.38561495373394905,5.3140358021703378,-9.6995724486195627,-0.64676423733342858,9.0528082112861341,-7.9988559288220813,-0.60107991942305716,7.3977760093990241,2.4559223587782526,5.1620350306112073,8.4098234705210473,11.008576883731095,3.8875128143684776,7.9074656069102787,1.7451498235454892,2.0238104938262609,1.3405595509404122,4.9250824112995133,1.347157314821942,3.9246295519268415,0.4785685930577081,0.58826101256125896,0.67127495088317235
2065,2017,120.57555154403421,41.975192005480707,7,10,23.015098038566588,-4.2083282470703125,172.26868149638176,169.37252306938171,2.8961584270000458,169.24660265445709,3.0220788419246674,217.72724002285759,142.68307896787519,524.98052294924855,201.39323573231738,148.32535575354621,147.58959077065683,170.55987385473449,169.59574106503334,199.245069753873,200.45992793909701,233.74209762364302,231.70486022264924,256.98194624244024,254.53722629922819,-1.7384369813586034,-1.3654642947395246,-1.0028820168676589,0.3625822778718657,-2.3804343662067993,-1.3636821327034454,1.0167522335033539,-0.48033235269471675,-1.7693871648504853,-1.2890548121557686,-3.5321268815259543,-1.5619086410549983,1.9702182404709561,-2.9540235623097715,-0.50580467597654888,2.4482188863332226,91.120816431939602,95.168851181864738,-4.0480347499251366,95.344854086637497,-4.2240376546978951,98.854336369023756,94.510268711350363,208.98121661192272,212.14494784174866,168.24357677349539,160.56128017787231,193.43331366059195,184.96451288042144,211.30860767660354,209.65240063115388,237.48494209030358,233.41619353443556,253.09672827662897,252.39531933988656,-6.8517360813388564,-8.419466438029616,-2.4668368903161024,5.9526295477135136,-11.633958011699235,-3.2471430129892553,8.3868149987099798,-5.4949551823299885,-3.4266201888797525,2.068334993450236,-7.5018354482862151,-3.2736254047748048,4.2282100435114103,-4.0362371036036677,-2.7499376660469181,1.2862994375567496,81.147865027189255,74.203670889139175,6.9441941380500793,73.901749096810818,7.246115930378437,118.87290368809863,48.172810159667279,315.9993059951812,188.94753732793367,144.0810368532492,140.28172779373676,152.52782549098418,156.33846277677301,178.06127443902156,183.22830599272686,221.9340121329966,227.65482037620615,264.64419009577341,257.94293652607246,3.8525430833414873,-3.2382719201743271,-0.63857608640003605,2.599695833774291,3.3613306852932396,-0.22173936706457198,-3.5830700523578116,5.8792754547667414,0.070204799399675721,-5.8090706553670657,7.5643761361693578,2.4889635714365284,-5.0754125647328294,-5.8218163470441482,2.4465250193284191,8.2683413663725673,-5.113299099980253,-10.704279164680344,-7.0540021432900915,-5.181194517855289,-9.2535236454924359,-14.995288696992475,-5.0146228296352717,-11.37423063709673,-3.9697085667602607,-15.066211584455573,-1.0822135412938962,1.7855792434404805,0.39807422842642404,0.45402833544689108,0.66237895477871744
2066,2017,121.07555383117514,41.975192005480707,4,10,23.015098038566588,-15.25,132.98480808734894,131.11724162101746,1.8675664663314819,131.03604197502136,1.9487661123275757,200.80046221613884,125.5763271600008,486.68717126641423,204.83973164729471,150.81373282845843,154.06762680220797,174.77668121505684,176.82337847428238,202.09549865479693,208.09614713191087,237.78988860702938,238.64479210539457,260.76903372293009,260.08941880080522,-0.80544178256911891,2.4544909133877297,-1.2323425791970237,-3.6868334925847535,-1.7028204916206562,-4.0000771639520849,-2.2972566723314287,0.49941347504662303,-5.4675242976316838,-5.9669377726783068,-4.0756782818959607,-4.954742951053305,-0.87906466915734427,-3.0391665980418452,-2.309267700917303,0.72989889712454215,67.254852674901485,76.81243634223938,-9.5575836673378944,77.227984070777893,-9.9731313958764076,85.979093529284,76.059030644595623,179.05647536186734,214.8717415089186,166.94457403600023,172.22644462132968,195.43851294244331,197.79484007540614,212.78901034034701,222.2036264532592,240.5558004891852,245.22630155435178,256.41136553422382,262.19755128245964,-5.4517985646426723,-2.3697944796655577,-7.9324285470313782,-5.5626340673658206,-9.3515703406029331,-11.653160306122004,-2.3015899655190708,-2.7517993429335093,-12.219107469421203,-9.4673081264876942,-7.0132160636574667,-11.047810320669697,-4.0345942570122304,-3.9506546866323049,-9.3127193927723795,-5.3620647061400746,65.729955852031708,54.304803729057312,11.425152122974396,53.808058083057404,11.921897768974304,114.82136929035187,49.517296634614468,307.63069668598473,194.94815768019052,146.6298578013772,147.85813929074294,157.75665325777302,162.19435996217973,184.13654714666768,188.079048027433,229.47497824122001,225.56034148265826,264.69906596244289,256.43539955206467,2.4808375398741873,2.5056116724944104,-0.76608828608976864,-3.2716999585841791,4.3953700915489833,0.33525670606169911,-4.0601133854872842,4.2213020914941524,0.2373622150846586,-3.9839398764094938,2.7298334352315123,7.0750531878850893,4.345219752653577,-2.592776201790798,7.4261555612501411,10.018931763040939,-4.6463567820735534,-7.9326361045168596,-4.8242853930532874,-4.8754061521599681,-7.6487498489822769,-13.746940432151916,-3.2512128179801323,-6.9731014344276616,-2.937537781761506,-9.7430494988889791,-0.91148808859045971,-1.3578784848415069,0.36790876343821116,0.42818175107952339,0.6056796879214853
2076,2017,125.325573271873,41.975192005480707,4,4,23.015098038566588,3.4736862182617188,164.86787594979978,160.88998218707638,3.9778937627233972,160.71703119451195,4.1508447552878351,185.45446490045288,246.88970698766207,530.43482191488147,192.20492530251181,131.25153081527282,129.04164055405795,158.36646166229289,153.17202500870297,192.18827821249201,188.04094502157508,225.31786527539458,224.05329621417022,254.42184589756357,252.23708437166624,-1.2335101093734977,-1.3186228208898285,0.87694405485405014,2.1955668757438787,-3.2239016994633971,1.8583890600680206,5.0822907595314177,-2.3112278196650493,1.9685986725884277,4.279826492253477,0.62878957876515074,1.8735356076137464,1.2447460288485956,-0.85576117937353047,1.3684650112123506,2.2242261905858811,118.60490569538524,103.36232744021981,15.242578255165427,102.69960743208503,15.90529826330021,119.62022082891554,181.76472864118949,315.43331389676314,195.86574896181375,142.1621347230267,140.09027754933891,165.16573531141452,159.97601971541133,194.62940673718742,191.16752222600834,225.1801418880174,223.54880652831116,252.5154004934775,248.0045554817271,-0.70983686162992399,1.2082334207844099,2.8760524169967994,1.6678189962123895,-2.4184430006042135,2.9460300732152973,5.3644730738195108,-0.51185455600435148,2.9772747602296192,3.4891293162339707,1.2996756451819351,2.9196299397175949,1.6199542945356598,-1.9762420940251104,2.71637032712718,4.6926124211522904,46.262970165007573,57.527653248896058,-11.264683083888485,58.017423222848265,-11.754453057840692,65.834243875261109,65.124978267653205,215.00150800868869,183.7800345194108,115.13549833883764,117.28702251034775,134.41146936770772,136.02132790101408,181.85985619714734,178.93670814217563,225.6956767335885,225.36570889363449,262.18179907203984,262.22853865535654,-0.18701710451728104,3.4813884260715326,0.59147572072164678,-2.8899127053498859,2.278750785280323,-0.55636114662669911,-2.8351119319070222,-3.1126694447352463,-0.54826308004720659,2.5644063646880397,-0.76851717281141418,-0.4703769727667293,0.29814020004468489,-2.3975583011930439,-2.2954420338760428,0.10211626731700107,0.52367324774357371,-0.52281975711264295,2.5268562416742384,-2.2731550052871228,0.80545869885918364,-4.6971937858845365,1.7993732636606978,2.6008148887308948,0.67088606641678439,2.0681928179933493,-1.12048091465158,0.4213162071679335,0.59466931819830737,0.6450112748330139,0.73621833351794175
2078,2017,125.82557555901393,41.975192005480707,4,4,23.015098038566588,7.4000015258789062,245.60985651207739,232.64128845051891,12.968568061558472,232.07743599267269,13.532420519404695,260.09171617374341,167.29228032641367,527.50380245875567,191.84506565839118,131.73864256033633,130.45666056135727,157.15806449388253,152.17446213159417,190.70398938221248,185.64207145333435,225.02812550389419,221.34997422115902,253.16451471145723,249.94247860312132,-0.29448236524268623,1.0163867634387316,2.269853148244664,1.2534663848059324,-0.78707772694349387,3.9910033032928993,4.7780810302363932,-0.67307612157117092,4.4486050739645577,5.1216811955357286,0.47854277306169024,4.2170213588200909,3.7384785857584006,-0.15426859394011672,3.1166436506436241,3.2709122445837409,185.64151331607718,160.22054574323556,25.420967572841619,159.11528562945023,26.526227686626953,186.74001609731931,120.27287321063886,314.26835507561918,193.73314067625478,139.61954211101778,135.30605022714732,162.21331731009712,154.41551825887814,192.38604195585054,185.75783218655351,225.010310958969,219.22681456107449,251.51219414169637,244.38846301580864,0.24630162013343693,2.2926414108158326,6.224837826089896,3.9321964152740634,-1.1089518415690236,6.4118668492521067,7.5208186908211303,0.18529018226408311,6.5792143994179355,6.3939242171538524,0.80720637086253078,6.4722130705268341,5.6650066996643034,-1.0047275065126087,6.3659401824902488,7.3706676890028575,59.968343017186271,72.420742361573502,-12.452399344387231,72.962151072517372,-12.993808055331101,73.351699923687192,47.019407022642554,213.23544713389128,187.0294302732637,117.2219373662515,120.59922895369901,143.04237582673684,145.81508793333003,186.43049639870148,185.33855656329246,225.18884103445393,226.9366594694259,261.22799698692467,264.61680952237936,-0.20489420467887953,4.3449529252709596,0.18543158909817237,-4.1595213361727872,0.75298237373539223,-3.4090826361287441,-4.1620650098641363,-1.8318225269289314,-1.3213277853391503,0.51049474158978114,-0.23589089758309001,-1.6211547473085943,-1.3852638497255043,-2.7500306892427488,-5.5061863995126146,-2.7561557102698657,0.54078398537612316,0.45119582481231646,1.276254647377101,-2.0523115144551269,-0.32187411462552973,-1.8619342153044158,0.85836630383525403,2.0171127091930146,0.32866359780084053,1.0430972684456208,-0.85045891257249195,1.7453031827301402,0.59576509896379581,0.71797756131754475,0.7189385725149271
2079,2017,126.32557784615486,41.975192005480707,4,4,23.015098038566588,2.5,133.34497586942962,132.25610542654977,1.0888704428798519,132.2087644608946,1.1362114085350186,156.48458073593429,293.75778633430673,557.39434581901878,191.30388177106798,129.61669322699331,128.74938633949492,159.12134342905904,153.99718576461302,190.9409920411417,187.92010335026626,224.22230265239494,223.38684675015381,251.32471165533093,250.63131563236917,-1.1288146933201801,-0.36140655708896929,0.48975470208509364,0.85116125917406293,-3.6736141646458407,1.2788931182341514,4.9525072828799921,-1.6685209167688981,1.4522301213428932,3.1207510381117913,0.50456894882023562,1.3637243620088668,0.8591554131886312,0.18387989084354217,0.96486679000472009,0.78098689916117792,90.753407153682929,85.600160547273845,5.1532466064090841,85.376106934836571,5.3773002188463579,93.625468803486001,214.02354502578601,316.22564780083485,195.08119936314364,140.25142036971505,139.20453153003001,166.50335527940337,160.13792224726109,194.01870166278891,190.60899489040727,224.67455560181725,223.31994243959991,250.30781082509617,248.18287089596518,-0.96486189267093891,1.1699246130964127,2.0978418172858824,0.92791720418946966,-4.5726941623707376,2.1389582285925428,6.7116523909632804,-1.3818590637285979,2.1374678576075894,3.5193269213361873,0.62648811507321511,2.0186202915520539,1.3921321764788388,-0.35285460256417878,1.899883174623767,2.2527377771879458,42.591568805153656,46.655944859408919,-4.0643760542552627,46.83265692007717,-4.2410881149235138,62.859111823017884,79.734241338323045,241.16869787778705,183.15421703061344,114.7177498715962,116.76633426973486,134.80753444315971,137.59250594649791,182.32341368533432,180.57884829235604,223.08036645936951,223.52124088240691,253.65331486937617,256.50234221617029,-0.32742911470214153,2.6340519832044151,-0.075883765504372036,-2.7099357487087872,2.6613810971835505,-1.0768970850489552,-3.7382781822325057,-1.2685586653282996,-0.20630474278220845,1.0622539225460912,-0.35831665482530184,-0.30663317396721368,0.05168348085808816,1.2564621706316643,-1.4430633388153069,-2.6995255094469712,0.16395280064924123,-0.63743277796879738,1.531331170185382,-1.4641273701080024,-0.89907999772489688,-7.2340752595542881,0.28666185304030023,-0.11330039840029826,0.12191916625297949,0.98480476989851695,-0.53673449340772095,-1.6093167731958431,0.56732840972073773,0.59830475541534522,0.72857147957337776
2081,2017,127.07558127686625,41.975192005480707,4,4,23.015098038566588,1.8000030517578125,156.35229423188139,137.14226300666633,19.210031225215062,136.30704202593915,20.045252205942234,185.51581673795772,256.352797113017,545.72346459049731,188.86014875116368,128.48418989309042,130.59895935673961,153.68384783966081,154.74518913230608,188.24105407072918,188.85670398122409,222.92146168619087,224.14843026480662,249.76882623364949,251.01531983540582,2.0424815953945199,2.7042352693691214,0.52586837357574723,-2.1783668957933742,2.2645717969105306,0.87528335993832229,-1.3892884369722083,1.6511776555122992,1.0252721887599705,-0.62590546675232872,2.2478022871613064,1.0360621811144028,-1.2117401060469035,2.0370382203342956,0.77817668074149537,-1.2588615395928002,115.02083672480694,93.211142007974559,21.809694716832382,92.262894764553494,22.757941960253447,124.15706155371561,180.45416731150726,314.66029991209507,190.60537855324995,136.78857557739127,138.27583440057734,159.30734930227547,159.24473914200311,188.38115661292954,191.23154544327198,222.7254406310106,225.10514169499868,249.40020575000494,250.1009005670999,3.5071505807222252,3.4273147635879866,1.402756091285255,-2.0245586723027316,1.6783772433175272,1.4846591914100031,-0.19371805190752411,4.3171220524072567,1.4754045016483133,-2.8417175507589434,3.3779556022011263,1.4048642353259879,-1.9730913668751384,1.7315396672661336,1.2946088743914856,-0.43693079287464798,41.331457536876769,43.931117771101526,-2.599660234224757,44.044147174959107,-2.7126896380823382,61.35875513506835,75.898629712102775,231.0631643878296,184.98701218657902,117.59562609005539,119.85220229862308,141.73825098897771,143.2154014237253,186.05144635003614,182.97081061150357,223.12392570014978,222.3312015505368,251.42184522391094,253.10560226681562,-0.18328643942584222,3.5091633891127714,0.20411293102448269,-3.3050504580882887,1.6328005929721883,-0.79103274748038643,-2.4238333404525747,-1.8672073009739449,0.22248843627181714,2.0896957372457621,-1.7889293499002292,-0.0233323759741495,1.7655969739260797,1.01125681422036,-0.32104400320022819,-1.3323008174205881,1.4646689853277053,3.6904370201480674,0.72307949421886519,-0.081848625524784779,-0.58619455359300332,0.045576650345338976,2.6659443968949574,6.1843293533812016,1.13015331503982,5.1668849521013556,-0.30549855306816198,0.72028285304577366,0.5765929455648594,0.66925324070393555,0.70392899685019361
2082,2017,127.32558242043672,41.975192005480707,4,4,23.015098038566588,1.9523773193359375,145.40670981430594,132.8682267020813,12.53848311222464,132.32307587475589,13.083633939550054,173.47380939693721,260.50523611767858,543.6610288573429,190.04730998404557,129.0019833559171,130.1762946620253,154.5387149926166,153.8626185378078,190.10998890825093,189.45388765223092,224.68371738191266,225.22246456555987,250.18802776870538,251.27868841454233,0.89697346556158664,1.7283665860931308,0.53411375487425516,-1.1942528312188756,0.58969039211291374,0.92109044137723117,0.33140004926431743,0.3027761452094353,1.0003058070350619,0.69752966182562659,1.4488165916995399,0.96302813391599784,-0.48578845778354207,1.8691051978733242,0.73870433755718068,-1.1304008603161435,107.39195985126207,92.641540774970053,14.750419076292019,92.000218330271309,15.391741520990763,116.73247896829628,186.08283663308566,318.94733242318034,191.80877975771179,136.61876219598668,137.24985696901001,159.65944613543314,158.24397742679685,190.19522648632116,192.19037584351054,224.98785440994396,226.71991251692918,249.99767816442761,251.02054728013334,2.5503798906032671,2.7686495827322801,1.4782809563492094,-1.2903686263830707,0.19280377585855035,1.5281062854826928,1.3353025096241424,3.3652342623719562,1.499121448400075,-1.8661128139718812,2.7703053219434821,1.4119708613102375,-1.3583344606332446,2.0442008675471754,1.2340505554886363,-0.81015031205853916,38.014750052450836,40.226686727518427,-2.2119366750675908,40.322857663693867,-2.308107611243031,56.741330436446333,74.422399519362443,224.71369656082243,185.98063677829089,117.55367456693411,119.36800438469459,144.16384369188214,142.30484404685251,188.93667439221343,182.38586634524697,224.25290296059376,222.05670212898218,251.25552223188993,252.00001671459933,-2.2305065635817698,2.8566681074752864,0.23613325042460076,-2.6205348570506857,-2.4186878518249841,-1.217318270679101,1.2013695811458831,-5.6257776973680222,0.050656818160405237,5.6764345155284275,-3.7396266036288637,-0.25689538838406634,3.4827312152447973,-0.35639891934204115,-0.52125142998642104,-0.16485251064437989,1.6534064250416804,4.7808864541850369,1.0402829966391494,-0.08801852474300631,-0.39688661625436339,2.6114916276835345,3.0624581171625209,8.9910119597399785,1.3214887302439422,6.5099319255723458,0.17509566967385126,2.4005997868892166,0.58666579999956625,0.67291125602247404,0.7143151493086537
2083,2017,127.57558356400716,41.975192005480707,4,4,23.015098038566588,3.8000030517578125,134.24866067396215,130.40489718060417,3.843763493357983,130.23777590296959,4.0108847709925612,157.31464940680235,230.39148815072986,510.69225637614727,191.25944590178628,133.86375689323975,132.64164483472712,159.05251776587141,154.65803131686152,190.6558397769372,187.66374260774649,224.1905764962132,222.52207895101625,249.06610174574459,247.42847367705374,-0.66511117849086077,-0.40985474616411466,0.87568871405181881,1.2855434602159335,-2.3655242161923127,1.6620995160340328,4.0276237322263455,-1.1711462643680761,1.9280197784871405,3.0991660428552166,0.24289378227837233,1.8739000220730873,1.6310062397947149,-0.16003200157632591,1.5403860199068902,1.7004180214832161,90.205967436915671,84.549684261655784,5.6562831752598868,84.303758647707582,5.902208789208089,96.272275426796114,153.61779943221336,260.17730789771304,193.23247607735334,141.66807553847121,140.09924283191091,164.22436123120158,159.23273246048993,190.98173717138965,189.79802287037214,223.37900982268158,222.63367020303585,248.02246151514493,245.28243817310354,1.1367963345858243,2.5989358164022178,3.2486176587361513,0.64968184233393345,-1.7593619588633373,3.285649415342391,5.0450113742057283,1.787755637217316,3.1537406170787392,1.3659849798614232,1.8205293369069864,2.8321209802177236,1.0115916433107373,-0.32447791074011434,2.627089385812809,2.9515672965529234,44.042693281749962,45.855211944412076,-1.8125186626621144,45.934017413213951,-1.891324131463989,61.042373993044748,76.773688584406045,250.51494828611612,187.6819190307215,122.84026052682916,122.30173937596658,145.51412866390879,143.9916648809297,188.97243627414639,182.58653406978422,224.99748494519326,222.33187604921443,252.26555602373438,251.90045702623897,-3.4856444178825825,0.63712205588582549,0.22960227240682229,-0.40751978347900319,-2.9957071808835281,-1.6982787993709678,1.2974283815125602,-6.3643783440688821,-0.36470319344078916,5.999675150628093,-3.9706507843293082,-0.4734995491824634,3.4971512351468448,-1.6701169044185917,-0.8307834062566144,0.83933349816197733,1.8019075130766851,4.6224407524684068,3.0087905625663325,1.9618137605163923,0.60616225732897533,1.2363452220201907,2.9589019015853921,8.1521339812861981,1.577635554628614,5.7911801212362946,-0.16444590916378843,1.3456389936784774,0.50946006063205518,0.61197272974778194,0.66676855410435754
2087,2017,80.325367429189697,41.725190861910242,1,10,23.10387543037033,5.8947296142578125,76.400149680284812,74.170165027559051,2.2299846527257614,74.073209681846492,2.3269399984383199,79.794910096519743,93.850803493201965,194.83742703683674,191.12036996225399,139.54603783245062,133.24977193882961,161.51884187794229,155.80957474453055,190.75831669677811,187.43329741935341,220.26113057877149,217.97625728499656,246.37077745691246,242.14014608799673,-1.1708038127499947,-5.3328177819145708,1.0983720241057142,6.431189806020285,-3.4897349072310533,2.1853856910081504,5.6751205982392037,-0.28684535336410022,2.9695029682050631,3.2563483215691633,0.99678550712800984,3.2705041020038834,2.2737185948758736,-1.5496723022002925,2.7074460686366137,4.2571183708369063,2.6515435576438904,1.3606808124385452,1.2908627452053452,1.3045563282809098,1.3469872293629805,2.6515435576438904,6.90895676612854,9.8189850002527237,188.00508428756092,172.79188980647109,162.03163082566437,179.47909475212703,184.91961884027143,191.93169569340634,202.38752213204043,194.48710736780083,210.98593864998347,195.40014592963246,220.25788810072035,13.377786945428454,6.5662332241263073,5.9040109418936026,-0.66222228223270463,9.9183357709740676,5.0719193125822812,-4.8464164583917864,10.304210040245636,5.9503659830696733,-4.3538440571759622,20.203725950213311,5.8950714270846447,-14.308654523128666,23.678080683136642,5.9127898191310635,-17.765290864005578,73.748606122640922,72.809483657552846,0.93912246508807584,72.768653594974239,0.97995252766668273,77.143366538875853,86.941846727073425,185.01844205148518,191.30188351310198,138.81387350428164,132.6077785668858,159.85288023542105,154.54935457719336,189.66977739398018,186.21663615224909,222.22457170104724,218.67945600019462,247.34214822382174,242.92748492679283,-1.8850867691279802,-5.2256343855309524,0.98135041322689176,6.2069847987578441,-3.0662524010438972,2.0958042938343624,5.1620566948782596,-0.66702535111971883,2.8874467305945473,3.5544720817142661,-0.47511458216956726,3.1174735181264737,3.5925881002960409,-1.8007714022438961,2.6424041129462807,4.4431755151901768,14.548590758178449,15.262873714556434,11.899051006040878,11.79186760965726,13.408070678205121,12.984588172017965,10.591055393609736,10.971235391365354,19.206940443085301,20.678840532382878,25.227752985336934,25.478852085380538,0.050395784575805895,0.033229482362178105,0.073616383759878903
