pixel,year,lon,lat,zone,igbp,area_km2,A,E_I,E_K,E_R,E_K_loo,E_R_loo,E_early,E_late,E_annual,E_centroid,E_q10,E_q10_null,E_q25,E_q25_null,E_q50,E_q50_null,E_q75,E_q75_null,E_q90,E_q90_null,E_centroid_advance,E_q10_advance,E_q10_null_advance,E_q10_gap,E_q25_advance,E_q25_null_advance,E_q25_gap,E_q50_advance,E_q50_null_advance,E_q50_gap,E_q75_advance,E_q75_null_advance,E_q75_gap,E_q90_advance,E_q90_null_advance,E_q90_gap,Et_I,Et_K,Et_R,Et_K_loo,Et_R_loo,Et_early,Et_late,Et_annual,Et_centroid,Et_q10,Et_q10_null,Et_q25,Et_q25_null,Et_q50,Et_q50_null,Et_q75,Et_q75_null,Et_q90,Et_q90_null,Et_centroid_advance,Et_q10_advance,Et_q10_null_advance,Et_q10_gap,Et_q25_advance,Et_q25_null_advance,Et_q25_gap,Et_q50_advance,Et_q50_null_advance,Et_q50_gap,Et_q75_advance,Et_q75_null_advance,Et_q75_gap,Et_q90_advance,Et_q90_null_advance,Et_q90_gap,En_I,En_K,En_R,En_K_loo,En_R_loo,En_early,En_late,En_annual,En_centroid,En_q10,En_q10_null,En_q25,En_q25_null,En_q50,En_q50_null,En_q75,En_q75_null,En_q90,En_q90_null,En_centroid_advance,En_q10_advance,En_q10_null_advance,En_q10_gap,En_q25_advance,En_q25_null_advance,En_q25_gap,En_q50_advance,En_q50_null_advance,En_q50_gap,En_q75_advance,En_q75_null_advance,En_q75_gap,En_q90_advance,En_q90_null_advance,En_q90_gap,centroid_Et_minus_E_advance,centroid_Et_minus_En_advance,qdiff_Et_minus_E_q10,qdiff_Et_minus_En_q10,qdiff_Et_minus_E_q25,qdiff_Et_minus_En_q25,qdiff_Et_minus_E_q50,qdiff_Et_minus_En_q50,qdiff_Et_minus_E_q75,qdiff_Et_minus_En_q75,qdiff_Et_minus_E_q90,qdiff_Et_minus_En_q90,Et_fraction_annual,Et_fraction_early,Et_fraction_late
5063,2002,99.825456627685796,30.475139401239417,6,10,26.612983329166411,1.1904754638671875,114.15648496284848,114.06157417967916,0.094910783169325441,114.05744912264345,0.09903584020503331,133.19014242751473,105.26059066849848,320.80049129575491,200.83074824965371,142.69415135843946,144.75840174916036,167.25177949709635,169.39399337481635,199.18268318467705,202.72664747853807,235.09701024133577,236.53832393772947,257.10604893792009,261.20101987957725,2.6046569211192434,2.3906742287128111,0.37508332271454492,-2.0155909059982662,2.5097588906662907,0.49283643255978404,-2.0169224581065066,4.1032715936581496,0.59107901088376025,-3.5121925827743894,1.8919075771248686,0.54551269852001383,-1.3463948786048547,4.5587726705947489,0.46572737063740988,-4.093045299957339,51.897280159959337,50.236049632396316,1.6612305275630206,50.163822369926493,1.7334577900328441,53.377844578567419,61.109472047915915,118.9732373598963,211.57746325947119,163.17589240344063,169.46961515162707,182.00437030283817,186.89667980933808,214.04591413060939,211.63486887688657,240.69014803121175,236.44087530081697,256.18227852726244,256.0912377673933,1.4044092716196701,7.4287882285686919,1.150929790957548,-6.2778584376111439,6.307653230544247,1.1437165693282907,-5.1639366612159563,-1.3454492876801112,1.1216930142633146,2.4671423019434258,-3.5538478053992151,1.0702055087547535,4.6240533141539686,0.13226730093776951,1.0025594361911203,0.87029213525335081,62.25920513071469,63.825525425032538,-1.5663202943178476,63.893626970202604,-1.6344218394879135,79.81229835558679,44.151118754693016,201.82725454121828,190.9055411466324,136.64696921147956,136.6609840515741,152.44890305548108,152.46739683235816,184.84414000665271,188.68599646989961,224.56218346722898,236.67861009145787,258.37454117342753,266.00334302541495,4.550268033202741,0.31846387530237052,0.022454284628167898,-0.29600959067420263,0.35263570279826695,0.052364751500817874,-0.30027095129744907,3.8404929538551471,-0.14839263191529994,-3.9888855857704471,11.707052931493109,-0.18844843501256037,-11.89550136650567,7.6066032585443395,-0.047017412010461612,-7.6536206705548011,-1.2002476494995733,-3.1458587615830709,5.0381139998558808,7.1103243532663214,3.7978943398779563,5.95501752774598,-5.4487208813382608,-5.1859422415352583,-5.4457553825240836,-15.260900736892324,-4.4265053696569794,-7.47433595760657,0.37086363826734781,0.40076422778522758,0.58055414338658329
5064,2002,100.07545777125625,30.475139401239417,6,10,26.612983329166411,1.13043212890625,103.87991312478698,109.63107263770507,-5.7511595129180932,109.88112383541011,-6.0012107106231269,123.96767507783807,109.1176515820498,346.51780683174729,197.14661577659919,138.02420084965027,139.96754020542568,162.27352162980725,164.86673995918434,195.3729201357354,198.99650022844602,233.04983046327544,233.43677283537923,256.36016874312583,258.27160980988043,2.384032915074954,2.0868283011732274,0.22689882668825589,-1.8599294744849715,3.0739566828941918,0.39526370173820169,-2.6786929811559901,4.0622157268873309,0.52218019371511559,-3.5400355331722153,0.74261868536831344,0.46501226780148386,-0.27760641756682958,2.1890665787686885,0.31317547351295616,-1.8758911052557323,39.97585162769974,43.068973957379058,-3.0931223296793178,43.203456590497808,-3.2276049627980683,41.225027701519139,49.009881599427899,95.591521586524323,207.60775083591207,161.89424171547995,167.64781767474261,178.46685830850132,185.14844641058545,206.74782342225549,209.41176005343414,237.83189542542408,234.0730947197363,253.50366731540203,253.28111464343002,2.990493357069397,6.8569782286512293,1.063962519075659,-5.7930157095755703,7.8095902542670501,1.0638598071982699,-6.7457304470687802,3.5699537787853046,1.0248948591266469,-2.5450589196586577,-3.1624910766059031,0.96312875710566459,4.1256198337115677,0.0744271121656368,0.85321768176933688,0.77879056960370008,63.904061588822515,66.562099484017381,-2.658037895194866,66.677666790426883,-2.7736052016043686,82.742647337669041,60.107769960270161,250.92628509923816,190.53858772211458,131.74048412441763,131.70934568374605,149.28071720788907,148.18417693052149,185.74117145165786,183.82914415798865,227.59679100809811,232.51196229894728,259.3781784777201,262.22203504036366,0.54495037895995324,0.36906934351128484,0.18033414539098658,-0.18873519812029826,-0.37409492658650834,0.30676598078471784,0.68086090737122618,-1.874665524706046,-0.086996691109106905,1.7876688335969391,4.5402612718572755,-0.24018109288888922,-4.7804423647461647,2.6617225818743009,-0.029763808563927796,-2.6914863904382287,0.60646044199444304,2.4455429781094438,4.7701499274780019,6.4879088851399445,4.7356335713728583,8.1836851808535584,-0.49226194810202628,5.4446193034913506,-3.9051097619742166,-7.7027523484631786,-2.1146394666030517,-2.5872954697086641,0.27586323040806693,0.33254659067885523,0.44914714428742508
5065,2002,100.32545891482673,30.475139401239417,6,10,26.612983329166411,4,150.52617507911782,155.01600772841994,-4.4898326493021159,155.21121884433887,-4.685043765221053,165.2518781397448,143.11601014058397,395.3779405914247,190.43674182793535,115.84725703772082,117.86223348591683,148.19339893110617,150.37964348024988,192.52541488895145,193.15386140947371,232.78042548381183,232.64112174390257,260.8125169984969,261.85173664178029,2.8201386903113246,3.0796324449687091,1.0233068804686383,-2.0563255645000709,3.8644691337218831,1.7337494483639375,-2.1307196853579455,2.913863431927183,2.3113234081406233,-0.60254002378655969,1.9738633304134225,2.0937235861640602,0.11986025575063763,2.607339760180821,1.6279444996809502,-0.9793952604998708,50.531223523970766,49.504358979827884,1.0268645441428816,49.459712404692254,1.0715111192785116,52.247644897159262,69.66274425400843,137.50342377304332,204.86569565934539,141.80542286801668,148.87572115481643,177.53481243961605,177.12240816828893,207.90970610141778,206.57593201025196,238.47097356222073,234.28607315309173,255.95664234738936,258.09524301896613,2.7453850566823235,9.7878374503070233,2.9302360520404136,-6.8576013982666097,2.9694603984400203,3.3985590107264727,0.42909861228645241,2.1881224827314725,3.3407485881675711,1.1526261054360987,-1.335081887356921,3.0696538957274129,4.4047357830843339,4.2693705944517717,2.3771050427340015,-1.8922655517177702,99.99495151044357,105.51165020067401,-5.5166986902304416,105.75150648944873,-5.7565549790051591,113.00423314572799,73.453266323414937,257.87451701983809,181.00274553487634,108.57315009794463,108.48677395212076,134.08126221412431,134.47404170186834,176.5697049644198,176.80614510682665,224.29965798958182,230.58355827907494,264.29320869431456,264.46207400183204,2.7302254485288984,2.0265229808064618,1.5787545842075588,-0.447768396598903,1.8559714682725996,1.2842501917202469,-0.57172127655235272,1.4725650575704492,1.3563966117831683,-0.11616844578728092,7.2124369226183092,1.0184795442750953,-6.1939573783432138,1.1703887766939829,1.197934213418705,0.027545436724722094,-0.074753633629001115,0.015159608153425097,6.7082050053383142,7.7613144695005616,-0.89500873528186276,1.1134889301674207,-0.72574094919571053,0.71555742516102327,-3.3089452177703436,-8.5475188099752302,1.6620308342709507,3.0989818177577888,0.34777717635778899,0.31616974938690973,0.48675717123177326
5070,2002,102.32546806339042,30.475139401239417,6,5,26.612983329166411,4.8499984741210938,147.77830087596885,157.38434184576181,-9.6060409697929572,157.80199453605746,-10.023693660088611,164.42166492976412,183.14070587428432,427.3690387532115,189.5410036702263,115.14204983447894,119.24821384051282,147.28595181580431,150.19103411899366,192.15959582831093,192.03424010236873,233.32696434234074,230.13557881666833,257.6380811034586,258.21891540428243,2.9077886273507545,5.8872401497840059,1.7773329143236225,-4.1099072354603834,5.4296647902352504,2.3155235896987278,-3.1141412005365225,2.6500721119388118,2.7843053508534013,0.13423323891458949,-0.78385062398129435,2.5759965246233207,3.3598471486046151,2.4558039134381033,1.9601984263782128,-0.49560548705989049,58.817293671610969,71.998461885083088,-13.18116821347212,72.571556772141776,-13.754263100530807,60.267301822987747,100.2771224283515,171.55903978273273,199.52692321577931,138.70860414213288,134.57336390963985,164.82472108979329,162.94309071433028,200.50095517851008,198.08289613423719,236.31483048334579,229.48836214240077,253.64869461723691,254.87564309588919,-0.16001661425113411,-0.48460814629561355,3.6079593495871052,4.0925674958827187,2.0979198284946676,3.9078521083590374,1.8099322798643698,1.5524356067014935,3.9564006157271763,2.4039650090256828,-3.3037406950784316,3.6472675950248856,6.9510082901033172,3.8372289826617134,3.2185479963801527,-0.61868098628156076,88.961007219259045,85.385880064988669,3.5751271542703762,85.230438649045027,3.7305685702140181,104.15436317681178,82.863583326723528,255.80999881774187,180.96865137058353,105.49651631991586,110.18094205587848,128.3963827745485,135.93095966524353,177.31997235454543,182.64876604329498,229.98692807377762,231.1297794593408,261.86829960098567,261.92393761336399,4.2945496336313624,6.1553510598533023,1.1134217234480843,-5.041929336405218,8.6483106038456015,1.2033441883362741,-7.4449664155093274,6.5372843527721614,1.0518844439226314,-5.48539990884953,1.9967687854127121,0.93858011176664036,-1.0581886736460717,0.80131529090562026,0.84760333658476839,0.046288045679148127,-3.0678052416018886,-4.4545662478824966,-6.3718482960796194,-6.6399592061489159,-3.3317449617405828,-6.5503907753509338,-1.0976365052373183,-4.9848487460706679,-2.5198900710971373,-5.3005094804911437,1.3814250692236101,3.0359136917560932,0.40143067051191139,0.36654112369396141,0.5475414214969011
5114,2002,97.82544747912209,30.225138257668952,6,10,26.679701192245485,3.5238037109375,98.779551640809586,105.15033230552581,-6.3707806647162215,105.42732295431779,-6.6477713135082013,114.22721646387981,86.765868960294029,294.24333315342665,194.94629357819633,136.7996049742811,137.19341120514557,158.60792985305525,160.96556252402706,192.89680103275896,196.50574014658503,232.38312215467428,231.21899837428336,255.60914142205385,255.41579546993486,2.4260914551992698,1.8655679861656154,0.99263684977910316,-0.87293113638651221,3.4235211825130989,1.2277206376753611,-2.1958005448377378,4.9628074784252192,1.4317473615740823,-3.5310601168511369,-0.12571830511296866,1.093626423529372,1.2193447286423407,0.20964641193464217,0.3639307667612286,0.15428435482658642,20.736626926302051,22.223917160546989,-1.4872902342449379,22.288581915545365,-1.5519549892433133,21.443097537130598,29.438438109219305,57.450091475300724,209.61080914231835,165.59493218637121,170.60915059281311,184.71520726819176,189.85214032985618,212.62134113915599,211.71032851865871,237.43052379859239,232.95179337626786,251.81822186249846,249.93100910173476,4.0610448198379743,9.227925753014631,3.1803397619152918,-6.0475859910993393,8.8698008146482437,3.181677072929233,-5.6881237417190107,2.0422808661880936,3.1234633681276307,1.0811825019395371,-1.8982285001086723,2.8154803008138174,4.7137088009224897,-0.30266207797336619,2.3957124221296908,2.698374500103057,78.042924655484967,82.926414582905636,-4.8834899274206691,83.138741050037424,-5.0958163945524575,92.784118757830583,57.327431162402718,236.79324177652597,189.97563653346975,131.25331752217735,132.51559310111605,151.09989274589446,150.44293737624,182.98238337915757,185.08670885850299,229.15472761257348,229.98531721251553,257.74953482498506,257.72790111295342,1.2165006907051463,2.6822282486666609,0.97471189519839641,-1.7075163534682645,0.73368077688661515,1.0416476277395077,0.30796685085289255,2.8521373065204898,0.39319325735436905,-2.4589440491661207,0.26468692613448752,-0.29368638850718298,-0.5583733146416705,-0.41016626950414548,-0.25833223524023197,0.15183403426391351,1.6349533646387044,2.8445441291328279,7.3623577668490157,6.5456975043479702,5.4462796321351448,8.1361200377616285,-2.9205266122371256,-0.80985644033239623,-1.7725101949957036,-2.1629154262431598,-0.51230848990800837,0.10750419153077928,0.19524687563726262,0.18772319068031562,0.33928592500688243
5115,2002,98.075448622692562,30.225138257668952,6,10,26.679701192245485,7.9565277099609375,119.54599341740868,127.00744737307468,-7.461453955666002,127.33185946181766,-7.7858660444089764,131.23279563664801,106.82125176478985,371.22288521751761,202.57366589530923,145.82320075696072,146.18903035049931,167.33254326624976,168.60450291367223,198.71368749379673,201.51516427619637,238.47212993203991,234.23648054634128,260.35443051326445,259.36315683927302,1.8795870645575121,1.914791936937803,1.3463055546959879,-0.56848638224181514,3.4917917151596498,2.1882585502289089,-1.3035331649307409,5.7788816715047062,3.1372982927908595,-2.6415833787138467,-1.1699497294099217,3.101640739949687,4.2715904693596087,0.71590782511191264,1.7118827690837293,0.99597494397181663,34.548815439023201,41.311433644566932,-6.7626182055437312,41.605460554963429,-7.0566451159402277,35.634707892812912,46.340673097277431,94.797349946806207,213.53758311209779,168.73933692562477,167.76685177273134,187.10629143122176,186.42624828100429,216.51447390883226,208.61215980397253,240.9501042368629,230.65288534816946,254.37966948527517,249.02420326564615,1.5429813404362847,5.9724395249359361,6.7953246251730945,0.82288510023715844,6.8116839634628832,7.1452672087245617,0.33358324526167848,-0.72799219740414856,7.1529873529744918,7.8809795503786404,-3.4959833365352324,6.8931048386660052,10.389088175201238,0.057006328647332793,6.0472892681561632,5.9902829395088304,84.997177836824449,85.696013404081896,-0.69883556725744711,85.726399039831449,-0.72922120300700044,95.59808755757058,60.480578582802082,276.42553539201617,196.81521537303854,141.36818986167486,140.67343809885293,157.56205523672955,157.58644594266042,189.10700138200608,192.08059284537885,234.83333770862242,238.44793697884,263.96499645499915,264.85399167353148,1.2256914600019115,1.2351602479295423,1.7602375326078459,0.52507728467830361,1.0961573479898732,1.0031680548845259,-0.092989293105347315,2.0743351152868854,-1.1514566568457099,-3.2257917721325953,2.068257697466322,-1.3675746747555024,-3.4358323722218245,0.94778335346450149,0.22884994900357469,-0.71893340446092679,-0.33660572412122747,0.31728988043437312,4.0576475879981331,4.7372792770063938,3.3198922483032334,5.71552661547301,-6.5068738689088548,-2.802327312691034,-2.3260336071253107,-5.5642410340015545,-0.65890149646457985,-0.89077702481716869,0.25536504811997196,0.27153812977875463,0.43381511011793
5116,2002,98.32544976626302,30.225138257668952,6,10,26.679701192245485,10.25,124.9557973651572,124.92991382154287,0.025883543614327209,124.92878762943656,0.027009735720639583,136.53698079868991,105.08468745583014,417.39729766175151,205.5626330088468,152.02398836669744,153.72724609181489,172.50230939480571,173.58506103866307,202.86684872658927,203.82857205601152,238.12295631937118,235.33672304188369,260.93241938666358,261.0673405153604,2.1315912858098613,1.4491292441605594,-0.25816798020440501,-1.7072972243649644,3.3451472431790137,2.2377544107469305,-1.1073928324320832,4.2472824292523512,3.2928129466958467,-0.95446948255650454,0.66934800420344231,3.5002279697325207,2.8308799655290784,1.3636138275613234,1.3105984061181744,-0.05301542144314908,55.747340047487342,54.147028133813365,1.600311913673977,54.077449478378185,1.6698905691091568,56.119552536622905,57.046915259456,129.35485453391448,212.11032893138693,170.28463279336967,165.24461157255593,186.33389015977065,181.55447325506157,213.98305029627352,203.95203916704938,237.79850703463012,226.61772814566166,252.62223006954895,244.97137616915577,1.0883875287208866,3.971564016267024,8.8836342570574516,4.9120702407904275,4.6063549554382064,9.1658549362358315,4.5594999807976251,-0.95839416875307393,9.2396105816889076,10.198004750441982,-2.5064402208697629,8.926836294229247,11.43327651509901,-0.13660917657384175,8.2653601766113525,8.4019693531851942,69.208457027097211,70.782884907901462,-1.5744278808042509,70.851338459016006,-1.642881431918795,80.417427871842847,48.037772150429191,288.04244268685579,199.79424370695526,144.99424020704402,148.02902147998549,159.3864811086062,164.48943547779592,190.74838182750904,203.60877379731781,238.8644693397685,247.33874752588329,268.02341000322963,269.01867005816365,3.6031734236748036,2.3811201341102333,-0.79299144254125054,-3.1741115766514838,3.599028393984895,-1.7525362685537971,-5.3515646625386921,6.7260629183663809,-6.2548279993941946,-12.980890917760576,4.6563683484851595,-3.8992055779989983,-8.5555739264841577,0.99967543933524894,0.078120955415556637,-0.9215544839196923,-1.0432037570889747,-2.514785894953917,2.5224347721064646,1.5904438821567908,1.2612077122591927,1.0073265614533113,-5.2056765980054251,-7.6844570871194549,-3.1757882250732052,-7.1628085693549224,-1.5002230041351652,-1.1362846159090907,0.30990822235447357,0.41102089857520402,0.54286610771368871
5117,2002,98.575450909833478,30.225138257668952,6,10,26.679701192245485,1.857147216796875,124.52696016971822,123.81841822226124,0.70854194745697896,123.78761176260377,0.73934840711444849,146.43067275228168,109.93611520991908,413.3021644577384,201.78990908889099,143.33370799790237,144.73318809877901,167.06086052110984,169.22877057437026,198.26324623014682,203.4199358631268,236.37836017288251,237.77278079230214,261.27713438672015,263.28920747708037,2.4581869880940133,1.5367449172620979,0.19572803440624398,-1.341016882855854,2.5758128807391358,0.43099033944812959,-2.1448225412910062,5.7092071419000661,0.67349205900231368,-5.0357150828977524,1.9926772421514158,0.61747780913992756,-1.3751994330114883,2.2654240782570696,0.2849621913098872,-1.9804618869471824,47.455584290271872,45.88387520113065,1.5717090891412226,45.815539914961846,1.6400443753100262,49.84652956370428,55.084556243467887,119.32038892580022,211.45823174611218,168.63663516753704,171.21269163460954,185.53416329848102,189.16808559061312,214.09285734544883,211.90587966443351,237.98608502042114,234.47391732704429,253.80905036257181,252.58524953600661,1.6371703564612403,4.34113911042175,1.6691015292816189,-2.6720375811401311,5.7793366867850295,1.7060805598052013,-4.0732561269798282,-0.52202436759563398,1.7005518741660239,2.2225762417616579,-2.4095165503543399,1.6146352540058047,4.0241518043601445,-0.49017119674840615,1.4673213915760073,1.9574925883244134,77.07137587199577,77.934544951894168,-0.86316907989839819,77.972071961529764,-0.90069608953399438,96.584143016681992,54.851559076791091,293.98177548870444,195.09064620814925,138.70884452924136,139.08464576302725,153.86084027193922,156.55922256968304,186.1580258539816,192.44856708350704,233.93463558391832,241.61430326351041,267.2297588511837,269.26950485775524,3.7695098522771957,0.48758949673464258,0.057808077691390736,-0.42978141904325184,2.7372734029436572,-0.037283889071403564,-2.7745572920150607,5.9213246815175182,-0.60151460477774776,-6.522839286295266,7.131462883961575,-0.44609427418384939,-7.5775571581454244,1.9238390762859012,0.0057114793007144726,-1.9181275969851868,-0.82101663163277294,-2.1323394958159554,2.8043941931596521,3.8535496136871075,3.2035238060458937,3.0420632838413724,-6.2312315094957,-6.4433490491131522,-4.4021937925057557,-9.5409794343159149,-2.7555952750054757,-2.4140102730343074,0.28870013076837187,0.34041043878853294,0.50105969397122951
5120,2002,99.825456627685796,30.225138257668952,6,10,26.679701192245485,3.2173919677734375,118.02149015068426,120.33901579338635,-2.317525642702094,120.43977866741261,-2.418288516728353,137.88634307961729,102.39483737151022,331.03142875060439,201.75992651000388,144.98625046420284,146.64246756383511,168.65078943919198,171.08561607293007,199.60594595032993,204.09583800052468,235.76257350881446,237.72648631930966,257.50674572724381,262.80399744488858,4.1956780681569796,2.8528366408226873,0.90672452013296834,-1.9461121206897189,3.5829388700526579,1.1116537313613151,-2.4712851386913428,6.0435952435738045,1.5330396760701319,-4.5105555675036726,3.5612790171010715,1.6640262272088364,-1.8972527898922351,6.6303434069512832,1.3313983365510467,-5.2989450704002365,50.762364326028546,52.275216102007107,-1.5128517759785609,52.340992660989286,-1.5786283349607402,51.819382013736686,57.191321007798251,113.02230121986941,213.27215113927295,166.80546339868579,169.76693436776569,185.28807443750475,187.30288771531383,214.55031918279712,211.80824525524685,242.3130494059026,236.18544491693052,258.50138105518869,256.28684008931032,1.6154733549988691,6.1298700118622094,3.0447167842789327,-3.0851532275832767,5.4519748775439609,3.0149901622887967,-2.4369847152551642,0.22427200668951741,2.9522533616257647,2.7279813549362473,-3.7084550030107835,2.7777243430041665,6.4861793460149499,-0.60862823327573778,2.5060628286129258,3.1146910618886636,67.259125715812843,68.063800138414081,-0.80467442260123789,68.098785569754909,-0.83965985394206655,86.066961020367671,45.203516383147871,218.00912756845355,192.19985080936124,139.08120643788254,140.14476025822728,155.48398877352693,155.62989051743983,186.45253727419973,191.63090825672808,225.4538334033258,239.97614653906297,256.84073773759297,268.33276340942945,6.3150029135167358,1.9692544482172423,0.62651570508373311,-1.3427387431335092,0.51369489313717054,0.049068106991313698,-0.46462678614585684,5.0911183896680541,-0.43476746095524277,-5.5258858506232968,14.009353053168979,0.098502825761727308,-13.910850227407252,11.750619386799713,0.63726408960673098,-11.113355297192982,-2.5802047131581105,-4.6995295585178667,3.2770333710395221,4.1606155636449671,1.8690360074913031,4.9382799844067904,-5.8193232368842871,-4.8668463829785367,-7.269734020111855,-17.717808056179763,-7.238971640227021,-12.35924762007545,0.34142468479939775,0.37581228754333945,0.55853715359003886
5121,2002,100.07545777125625,30.225138257668952,6,10,26.679701192245485,-1.7894744873046875,89.210445316628466,95.774900434558731,-6.5644551179302653,96.060313198164295,-6.8498678815358289,113.0271581115212,82.126381597421641,308.86266971006989,202.6340365973299,145.09425075081964,148.88027933572869,168.57993627587445,172.60647063117838,200.50546328066898,206.10133121001667,237.6454555913148,239.69735937701878,259.4949611248793,263.7770293109906,3.2346905458951198,3.803290631508105,-0.35602887953740492,-4.1593195110455099,3.5879845192898472,-0.44110730306547907,-4.0290918223553263,4.939163354557337,-0.67486880710208652,-5.6140321616594235,1.3844826264800929,-0.64381525554898644,-2.0282978820290793,3.6941023922037743,-0.56618965125863951,-4.2602920434624139,32.282990580782098,41.73798905959211,-9.4549984788100119,42.149074699709672,-9.8660841189275743,34.664556179298188,37.409801656104264,76.709299568552524,213.96652827843678,166.71220844371936,176.41166187492047,182.68030171720639,193.38897288368216,216.08869769074363,216.53115304159931,243.68302577165187,239.99614088070379,260.40406218716868,258.72265363216161,1.1334092799674806,8.1876897875930013,-1.6760110530534575,-9.8637008406464588,9.0099665379094063,-1.6712664039512504,-10.681232941860657,-1.342289458355026,-1.659819393203037,-0.31752993484801095,-5.4198412820470594,-1.5828250451408223,3.8370162369062371,-3.8698577903248861,-1.4576835262432155,2.4121742640816706,56.927454825253335,54.036913935221492,2.8905408900318434,53.911237783198885,3.0162170420544498,78.362601974720747,44.716579895829454,232.15337024256587,195.9978041449034,140.48809003202652,143.09796750119907,158.97235438078229,157.6952941873507,191.09561593115191,191.73010922251152,230.46978902794962,239.32068775130699,258.96208429999081,267.65698732195,3.408903883792874,2.4744927940796515,-0.2343948900313535,-2.708887684111005,-0.89369108410355125,0.11617706961010299,1.0098681537136542,1.2545604713890839,0.65415399743486091,-0.60040647395422297,9.4858321388307161,0.57665621710367532,-8.9091759217270408,8.5590215420989466,0.069850728679568874,-8.4891708134193777,-2.1012812659276392,-2.2754946038253934,4.3843991560848963,5.7131969935133498,5.4219820186195591,9.9036576220129575,-6.281452812912363,-2.5968499297441099,-6.8043239085271523,-14.905673420877775,-7.5639601825286604,-12.428879332423833,0.24836054043228895,0.30669227430362794,0.45551503583202729
